"acc","sample_name","num_virus_species"
"SRR24704824","EBC_53","109"
"SRR24704823","EBC_54","69"
"SRR24704822","EBC_55","66"
"SRR24704821","EBC_56","63"
"SRR24704820","EBC_57","74"
"SRR24704819","EBC_58","82"
"SRR24704816","EBC_60","92"
"SRR24704815","EBC_64","111"
"SRR24704814","EBC_65","119"
"SRR24704813","EBC_72","119"
"SRR24704812","EBD_36","132"
"SRR24704811","EBD_48","165"
"SRR24704810","EBD_49","172"
"SRR24704809","EBD_50","180"
"SRR24704808","EBD_51","129"
"SRR24704807","EBD_52","40"
"SRR24704805","EBD_53","58"
"SRR24704804","EBD_54","52"
"SRR24704803","EBD_55","42"
"SRR24704802","EBD_56","50"
"SRR24704801","EBD_57","71"
"SRR24704800","EBD_59","75"
"SRR24704799","EBD_60","136"
"SRR24704798","EBD_64","162"
"SRR24704797","EBD_66","161"
"SRR24704796","EBD_73","168"
"SRR24704794","EBE_37","143"
"SRR24704793","EBE_48","203"
"SRR24704792","EBE_49","202"
"SRR24704791","EBE_50","189"
"SRR24704790","EBE_51","196"
"SRR24704789","EBE_52","137"
"SRR24704788","EBE_53","31"
"SRR24704787","EBE_54","39"
"SRR24704786","EBE_55","47"
"SRR24704785","EBE_56","50"
"SRR24704783","EBE_57","54"
"SRR24704782","EBE_58","77"
"SRR24705053","EBE_60","78"
"SRR24705052","EBE_64","105"
"SRR24705051","EBE_66","119"
