"acc","sample_name","name","pct"
"SRR24705227","BAK_27","Viruses","0.7"
"SRR24705227","BAK_27","cellular organisms","99.3"
"SRR24705226","BAK_28","Viruses","0.73"
"SRR24705226","BAK_28","cellular organisms","99.27"
"SRR24705225","BAK_29","Viruses","0.54"
"SRR24705225","BAK_29","cellular organisms","99.46"
"SRR24705224","BAK_30","Viruses","0.44"
"SRR24705224","BAK_30","cellular organisms","99.56"
"SRR24705223","BAK_32","Viruses","0.67"
"SRR24705223","BAK_32","cellular organisms","99.33"
"SRR24705222","BAK_36","Viruses","0.89"
"SRR24705222","BAK_36","cellular organisms","99.11"
"SRR24705221","BAK_38","Viruses","0.96"
"SRR24705221","BAK_38","cellular organisms","99.04"
"SRR24705220","BAK_44","Viruses","0.99"
"SRR24705220","BAK_44","cellular organisms","99.01"
"SRR24705237","BAK_8","Viruses","0.86"
"SRR24705237","BAK_8","cellular organisms","99.14"
"SRR24705218","BAL_21","Viruses","2.08"
"SRR24705218","BAL_21","cellular organisms","97.92"
"SRR24705216","BAL_22","Viruses","2.09"
"SRR24705216","BAL_22","cellular organisms","97.91"
"SRR24705215","BAL_23","Viruses","1.73"
"SRR24705215","BAL_23","cellular organisms","98.27"
"SRR24705214","BAL_24","Viruses","2.45"
"SRR24705214","BAL_24","cellular organisms","97.55"
"SRR24705629","BAL_25","Viruses","0.67"
"SRR24705629","BAL_25","cellular organisms","99.33"
"SRR24705628","BAL_26","Viruses","0.51"
"SRR24705628","BAL_26","cellular organisms","99.49"
"SRR24705627","BAL_27","Viruses","0.33"
"SRR24705627","BAL_27","cellular organisms","99.67"
"SRR24705626","BAL_28","Viruses","0.61"
"SRR24705626","BAL_28","cellular organisms","99.39"
"SRR24705625","BAL_29","Viruses","0.98"
"SRR24705625","BAL_29","cellular organisms","99.02"
"SRR24705624","BAL_30","Viruses","0.9"
"SRR24705624","BAL_30","cellular organisms","99.1"
"SRR24705623","BAL_32","Viruses","3.45"
"SRR24705623","BAL_32","cellular organisms","96.55"
"SRR24705621","BAL_34","Viruses","3.04"
"SRR24705621","BAL_34","cellular organisms","96.96"
"SRR24705620","BAL_37","Viruses","1.92"
"SRR24705620","BAL_37","cellular organisms","98.08"
"SRR24705619","BAL_38","Viruses","1.5"
"SRR24705619","BAL_38","cellular organisms","98.5"
"SRR24705618","BAL_48","Viruses","1.05"
"SRR24705618","BAL_48","cellular organisms","98.95"
"SRR24705219","BAL_9","Viruses","1.92"
"SRR24705219","BAL_9","cellular organisms","98.08"
"SRR24705617","BAM_10","Viruses","2.78"
"SRR24705617","BAM_10","cellular organisms","97.22"
"SRR24705616","BAM_20","Viruses","3.38"
"SRR24705616","BAM_20","cellular organisms","96.62"
"SRR24705615","BAM_21","Viruses","3.14"
"SRR24705615","BAM_21","cellular organisms","96.86"
"SRR24705614","BAM_22","Viruses","4.77"
"SRR24705614","BAM_22","cellular organisms","95.23"
"SRR24705613","BAM_23","Viruses","5.4"
"SRR24705613","BAM_23","cellular organisms","94.6"
"SRR24705612","BAM_24","Viruses","6.02"
"SRR24705612","BAM_24","cellular organisms","93.98"
"SRR24705610","BAM_25","Viruses","3.28"
"SRR24705610","BAM_25","cellular organisms","96.72"
"SRR24705609","BAM_26","Viruses","2.39"
"SRR24705609","BAM_26","cellular organisms","97.61"
"SRR24705608","BAM_27","Viruses","1.76"
"SRR24705608","BAM_27","cellular organisms","98.24"
"SRR24705607","BAM_29","Viruses","1.25"
"SRR24705607","BAM_29","cellular organisms","98.75"
"SRR24705606","BAM_31","Viruses","1.33"
"SRR24705606","BAM_31","cellular organisms","98.67"
"SRR24705605","BAM_32","Viruses","2.3"
"SRR24705605","BAM_32","cellular organisms","97.7"
"SRR24705604","BAM_33","Viruses","4.85"
"SRR24705604","BAM_33","cellular organisms","95.15"
"SRR24705603","BAM_38","Viruses","2.74"
"SRR24705603","BAM_38","cellular organisms","97.26"
"SRR24705602","BAM_40","Viruses","2.47"
"SRR24705602","BAM_40","cellular organisms","97.53"
"SRR24705601","BAM_47","Viruses","3.81"
"SRR24705601","BAM_47","cellular organisms","96.19"
"SRR24705598","BAN_19","Viruses","1.53"
"SRR24705598","BAN_19","cellular organisms","98.47"
"SRR24705469","BAN_20","Viruses","1.65"
"SRR24705469","BAN_20","cellular organisms","98.35"
"SRR24705468","BAN_21","Viruses","1.35"
"SRR24705468","BAN_21","cellular organisms","98.65"
"SRR24705467","BAN_22","Viruses","1.17"
"SRR24705467","BAN_22","cellular organisms","98.83"
"SRR24705466","BAN_23","Viruses","2.29"
"SRR24705466","BAN_23","cellular organisms","97.71"
"SRR24705465","BAN_24","Viruses","0.62"
"SRR24705465","BAN_24","cellular organisms","99.38"
"SRR24705464","BAN_25","Viruses","0.42"
"SRR24705464","BAN_25","cellular organisms","99.58"
"SRR24705463","BAN_26","Viruses","0.38"
"SRR24705463","BAN_26","cellular organisms","99.62"
"SRR24705462","BAN_28","Viruses","2.11"
"SRR24705462","BAN_28","cellular organisms","97.89"
"SRR24705460","BAN_29","Viruses","0.81"
"SRR24705460","BAN_29","cellular organisms","99.19"
"SRR24705459","BAN_30","Viruses","0.61"
"SRR24705459","BAN_30","cellular organisms","99.39"
"SRR24705458","BAN_32","Viruses","0.84"
"SRR24705458","BAN_32","cellular organisms","99.16"
"SRR24705457","BAN_37","Viruses","1.26"
"SRR24705457","BAN_37","cellular organisms","98.74"
"SRR24705456","BAN_39","Viruses","3.27"
"SRR24705456","BAN_39","cellular organisms","96.73"
"SRR24705455","BAN_45","Viruses","1.54"
"SRR24705455","BAN_45","cellular organisms","98.46"
"SRR24705599","BAN_9","Viruses","1.62"
"SRR24705599","BAN_9","cellular organisms","98.38"
"SRR24705453","BAP_21","Viruses","0.97"
"SRR24705453","BAP_21","cellular organisms","99.03"
"SRR24705452","BAP_22","Viruses","0.82"
"SRR24705452","BAP_22","cellular organisms","99.18"
"SRR24705451","BAP_23","Viruses","1.02"
"SRR24705451","BAP_23","cellular organisms","98.98"
"SRR24705449","BAP_24","Viruses","0.97"
"SRR24705449","BAP_24","cellular organisms","99.03"
"SRR24705448","BAP_25","Viruses","0.76"
"SRR24705448","BAP_25","cellular organisms","99.24"
"SRR24705447","BAP_26","Viruses","0.4"
"SRR24705447","BAP_26","cellular organisms","99.6"
"SRR24705446","BAP_27","Viruses","0.32"
"SRR24705446","BAP_27","cellular organisms","99.68"
"SRR24705445","BAP_28","Viruses","0.27"
"SRR24705445","BAP_28","cellular organisms","99.73"
"SRR24705444","BAP_29","Viruses","0.3"
"SRR24705444","BAP_29","cellular organisms","99.7"
"SRR24705443","BAP_30","Viruses","0.31"
"SRR24705443","BAP_30","cellular organisms","99.69"
"SRR24705442","BAP_31","Viruses","0.31"
"SRR24705442","BAP_31","cellular organisms","99.69"
"SRR24705441","BAP_33","Viruses","0.31"
"SRR24705441","BAP_33","cellular organisms","99.69"
"SRR24705440","BAP_36","Viruses","0.35"
"SRR24705440","BAP_36","cellular organisms","99.65"
"SRR24705438","BAP_38","Viruses","0.33"
"SRR24705438","BAP_38","cellular organisms","99.67"
"SRR24705213","BAP_42","Viruses","0.36"
"SRR24705213","BAP_42","cellular organisms","99.64"
"SRR24705454","BAP_8","Viruses","0.55"
"SRR24705454","BAP_8","cellular organisms","99.45"
"SRR29697129","CAA_15","Viruses","0.36"
"SRR29697129","CAA_15","cellular organisms","99.64"
"SRR29697118","CAA_16","Viruses","0.55"
"SRR29697118","CAA_16","cellular organisms","99.45"
"SRR29697107","CAA_17","Viruses","0.68"
"SRR29697107","CAA_17","cellular organisms","99.32"
"SRR29697096","CAA_18","Viruses","0.7"
"SRR29697096","CAA_18","cellular organisms","99.3"
"SRR29697085","CAA_19","Viruses","0.75"
"SRR29697085","CAA_19","cellular organisms","99.25"
"SRR29697074","CAA_20","Viruses","0.63"
